dmc_code,name,hex
3799,Pewter Gray Vy Dk,#424242
3371,Black Brown,#1E1108
524,Fern Green Vy Lt,#C4CDAC
738,Tan Very Light,#ECCC9E
838,Beige Brown Vy Dk,#594937
798,Delft Blue Dark,#466A8E
3013,Khaki Green Lt,#B9B982
741,Tangerine Med,#FFA32B
729,Old Gold Medium,#D0A53E
3045,Yellow Beige Dk,#BC966A
926,Gray Green Med,#98AEAE
830,Golden Olive Dk,#8D784B
535,Ash Gray Vy Lt,#636458
